AcceptedNameGBIF;OriginalNameDB;ID_GBIF;Kingdom;Order;Family;Phylum;Class;EstablishmentMeans;Pathways;FunctionalGroup;Group;NativeCountry;InvadedCountry;InvadedCountryISO3;AffectedNativeSpecies;EICATImpact;Mechanisms;EICAT_by_Mechanism;Habitat;FirstRecords;OldestDate;Source_Data
Abbottina rivularis;Abbottina rivularis;5206304;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Acanthogobius flavimanus;Acanthogobius flavimanus;2375974;Metazoa;perciformes;Gobiidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Aedes albopictus;Aedes albopictus;1651430;Metazoa;diptera;Culicidae;arthropoda;insecta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Lachnagrostis filiformis;Agrostis avenacea;4135963;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Alburnus alburnus;Alburnus alburnus;2362925;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Alopochen aegyptiaca;Alopochen aegyptiaca;2498252;Metazoa;anseriformes;Anatidae;chordata;aves;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Alosa aestivalis;Alosa aestivalis;2412708;Metazoa;clupeiformes;Clupeidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Alosa pseudoharengus;Alosa pseudoharengus;2412740;Metazoa;clupeiformes;Clupeidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Alpinia zerumbet;Alpinia zerumbet;5301979;Plantae;zingiberales;Zingiberaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Alternanthera philoxeroides;Alternanthera philoxeroides;3084923;Plantae;caryophyllales;Amaranthaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Alternanthera sessilis;Alternanthera sessilis;3084939;Plantae;caryophyllales;Amaranthaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Amatitlania nigrofasciata;Amatitlania nigrofasciata;2370027;Metazoa;perciformes;Cichlidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ambloplites rupestris;Ambloplites rupestris;2394514;Metazoa;perciformes;Centrarchidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ambrosia artemisiifolia;Ambrosia artemisiifolia;8002952;Plantae;asterales;Asteraceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ambrosia trifida;Ambrosia trifida;3110588;Plantae;asterales;Asteraceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ambystoma tigrinum;Ambystoma tigrinum;2431993;Metazoa;caudata;Ambystomatidae;chordata;amphibia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ameiurus melas;Ameiurus melas;2340977;Metazoa;siluriformes;Ictaluridae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ameiurus natalis;Ameiurus natalis;2340969;Metazoa;siluriformes;Ictaluridae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ameiurus nebulosus;Ameiurus nebulosus;2340989;Metazoa;siluriformes;Ictaluridae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Andropogon glomeratus;Andropogon glomeratus;2706097;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Annona glabra;Annona glabra;5407100;Plantae;magnoliales;Annonaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Anopheles quadrimaculatus;Anopheles quadrimaculatus;1650395;Metazoa;diptera;Culicidae;arthropoda;insecta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Anser indicus;Anser indicus;2498035;Metazoa;anseriformes;Anatidae;chordata;aves;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Aphanomyces astaci;Aphanomyces astaci;3202936;Chromista;saprolegniales;Leptolegniaceae;oomycota;oomycetes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Arundo donax;Arundo donax;2703041;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Leuciscus aspius;Aspius aspius;5851603;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Astatoreochromis alluaudi;Astatoreochromis alluaudi;2373819;Metazoa;perciformes;Cichlidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Astronotus ocellatus;Astronotus ocellatus;2370243;Metazoa;perciformes;Cichlidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Azolla pinnata;Azolla pinnata;2650106;Plantae;NA;Salviniaceae;pteridophyta;filicopsida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Bacopa monnieri;Bacopa monnieri;3171169;Plantae;lamiales;Scrophulariaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Batrachochytrium dendrobatidis;Batrachochytrium dendrobatidis;2627503;Fungi;rhizophydiales;NA;chytridiomycota;chytridiomycetes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Batrachochytrium salamandrivorans;Batrachochytrium salamandrivorans;7670473;Fungi;rhizophydiales;NA;chytridiomycota;chytridiomycetes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Belonesox belizanus;Belonesox belizanus;2350149;Metazoa;cyprinodontiformes;Poeciliidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Boa imperator;Boa imperator;2464915;Metazoa;serpentes;Boidae;chordata;reptilia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Brachypodium sylvaticum;Brachypodium sylvaticum;5290146;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Branta canadensis;Branta canadensis;5232437;Metazoa;anseriformes;Anatidae;chordata;aves;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Branta hutchinsii;Branta hutchinsii;5232452;Metazoa;anseriformes;Anatidae;chordata;aves;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Bubalus bubalis;Bubalus bubalis;7422937;Metazoa;artiodactyla;Bovidae;chordata;mammalia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Bythotrephes longimanus;Bythotrephes longimanus;2234644;Metazoa;cladocera;Cercopagididae;arthropoda;branchiopoda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Cabomba caroliniana;Cabomba caroliniana;2882443;Plantae;nymphaeales;Cabombaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Callinectes sapidus;Callinectes sapidus;2225646;Metazoa;decapoda;Portunidae;arthropoda;malacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Carassius auratus;Carassius auratus;4286942;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Carassius cuvieri;Carassius cuvieri;2366641;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Carassius gibelio;Carassius gibelio;2366634;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Carex kobomugi;Carex kobomugi;2727576;Plantae;poales;Cyperaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Castor canadensis;Castor canadensis;2439838;Metazoa;rodentia;Castoridae;chordata;mammalia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ceratophyllum demersum;Ceratophyllum demersum;2882398;Plantae;ceratophyllales;Ceratophyllaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ceratopteris thalictroides;Ceratopteris thalictroides;2651586;Plantae;NA;Parkeriaceae;pteridophyta;filicopsida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Cercopagis pengoi;Cercopagis pengoi;2234642;Metazoa;cladocera;Cercopagididae;arthropoda;branchiopoda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Channa argus;Channa argus;4284921;Metazoa;perciformes;Channidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Channa marulius;Channa marulius;2391548;Metazoa;perciformes;Channidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Chelicorophium curvispinum;Chelicorophium curvispinum;4314683;Metazoa;amphipoda;Corophiidae;arthropoda;malacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Cherax destructor;Cherax destructor;4417558;Metazoa;decapoda;Parastacidae;arthropoda;malacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Cherax quadricarinatus;Cherax quadricarinatus;4648609;Metazoa;decapoda;Parastacidae;arthropoda;malacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Chrysemys picta;Chrysemys picta;2443133;Metazoa;testudines;Emydidae;chordata;reptilia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Cichla ocellaris;Cichla ocellaris;5208153;Metazoa;perciformes;Cichlidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Mayaheros urophthalmus;Cichlasoma urophthalmum;9539561;Metazoa;perciformes;Cichlidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Clarias batrachus;Clarias batrachus;5202683;Metazoa;siluriformes;Clariidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Clupeonella cultriventris;Clupeonella cultriventris;5214533;Metazoa;clupeiformes;Clupeidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Coix lacryma-jobi;Coix lacryma-jobi;2706301;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Corbicula fluminalis;Corbicula fluminalis;5189032;Metazoa;NA;Corbiculidae;mollusca;bivalvia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Corbicula fluminea;Corbicula fluminea;8190231;Metazoa;NA;Corbiculidae;mollusca;bivalvia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Coregonus albula;Coregonus albula;2351027;Metazoa;salmoniformes;Salmonidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Cornus sericea;Cornus sericea;3082244;Plantae;cornales;Cornaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Crassostrea virginica;Crassostrea virginica;2286079;Metazoa;NA;Ostreidae;mollusca;bivalvia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Crassula helmsii;Crassula helmsii;5362054;Plantae;saxifragales;Crassulaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Cryptostegia madagascariensis;Cryptostegia madagascariensis;8230770;Plantae;gentianales;Asclepiadaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ctenopharyngodon idella;Ctenopharyngodon idella;2362030;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Cucumber green mottle mosaic virus;Cucumber green;10058520;NA;NA;Virgaviridae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
NA;Cucurbit chlorotic;NA;NA;NA;Closteroviridae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Culex quinquefasciatus;Culex quinquefasciatus;1652950;Metazoa;diptera;Culicidae;arthropoda;insecta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Cygnus olor;Cygnus olor;2498343;Metazoa;anseriformes;Anatidae;chordata;aves;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Cyperus difformis;Cyperus difformis;2714796;Plantae;poales;Cyperaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Cyperus imbricatus;Cyperus imbricatus;2714233;Plantae;poales;Cyperaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Cyperus papyrus;Cyperus papyrus;2716311;Plantae;poales;Cyperaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Cyperus rotundus;Cyperus rotundus;2714818;Plantae;poales;Cyperaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Cyprinella lutrensis;Cyprinella lutrensis;5207666;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Cyprinus carpio;Cyprinus carpio;4286975;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Daphnia lumholtzi;Daphnia lumholtzi;2234817;Metazoa;cladocera;Daphniidae;arthropoda;branchiopoda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Dickeya solani;Dickeya solani;7564445;NA;enterobacteriales;Enterobacteriaceae;proteobacteria;gammaproteobacteria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Didymosphenia geminatum;Didymosphenia geminata;8030069;Chromista;cymbellales;Gomphonemataceae;ochrophyta;bacillariophyceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Dikerogammarus villosus;Dikerogammarus villosus;4315705;Metazoa;amphipoda;Gammaridae;arthropoda;malacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Discoglossus pictus;Discoglossus pictus;2426617;Metazoa;anura;Alytidae;chordata;amphibia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Dreissena polymorpha;Dreissena polymorpha;2287072;Metazoa;veneroida;Dreissenidae;mollusca;bivalvia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Dreissena bugensis;Dreissena rostriformis;2287073;Metazoa;veneroida;Dreissenidae;mollusca;bivalvia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Echinochloa colonum;Echinochloa colona;6431411;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Echinochloa crus-galli;Echinochloa crus-galli;2702808;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Echinochloa pyramidalis;Echinochloa pyramidalis;2702805;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pontederia azurea;Eichhornia azurea;7494501;Plantae;commelinales;Pontederiaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
NA;Elodea canadensis;NA;Plantae;alismatales;Hydrocharitaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Elodea nuttallii;Elodea nuttallii;5329212;Plantae;alismatales;Hydrocharitaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Eragrostis ciliaris;Eragrostis ciliaris;2705373;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Eriocheir hepuensis;Eriocheir hepuensis;5863366;Metazoa;decapoda;Varunidae;arthropoda;malacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Eriocheir sinensis;Eriocheir sinensis;2225776;Metazoa;decapoda;Varunidae;arthropoda;malacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Erythrocebus patas;Erythrocebus patas;2436548;Metazoa;primates;Cercopithecidae;chordata;mammalia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Esox lucius;Esox lucius;2346633;Metazoa;salmoniformes;Esocidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Reynoutria bohemica;Fallopia x;4038485;Plantae;caryophyllales;Polygonaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
