AcceptedNameGBIF;OriginalNameDB;ID_GBIF;Kingdom;Order;Family;Phylum;Class;EstablishmentMeans;Pathways;FunctionalGroup;Group;NativeCountry;InvadedCountry;InvadedCountryISO3;AffectedNativeSpecies;EICATImpact;Mechanisms;EICAT_by_Mechanism;Habitat;FirstRecords;OldestDate;Source_Data
Paspalum distichum;Paspalum distichum;2705622;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Paspalum urvillei;Paspalum urvillei;2705650;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Paspalum vaginatum;Paspalum vaginatum;8100050;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pelophylax bedriagae;Pelophylax cf;2426640;Metazoa;anura;Ranidae;chordata;amphibia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Perca flavescens;Perca flavescens;2382004;Metazoa;perciformes;Percidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Perca fluviatilis;Perca fluviatilis;8140485;Metazoa;perciformes;Percidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Perccottus glenii;Perccottus glenii;2390064;Metazoa;perciformes;Odontobutidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Petromyzon marinus;Petromyzon marinus;8236498;Metazoa;petromyzontiformes;Petromyzontidae;chordata;cephalaspidomorphi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Phalloceros caudimaculatus;Phalloceros caudimaculatus;2350105;Metazoa;cyprinodontiformes;Poeciliidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Phormium tenax;Phormium tenax;2778511;Plantae;asparagales;Xanthorrhoeaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Phoxinus phoxinus;Phoxinus phoxinus;4409653;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Phragmites australis;Phragmites australis;5290149;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Phytophthora cinnamomi;Phytophthora cinnamomi;3203682;Chromista;peronosporales;Peronosporaceae;oomycota;oomycetes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Phytophthora lateralis;Phytophthora lateralis;3203650;Chromista;peronosporales;Peronosporaceae;oomycota;oomycetes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pimephales promelas;Pimephales promelas;2367742;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pistia stratiotes;Pistia stratiotes;2870583;Plantae;alismatales;Araceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Poa annua;Poa annua;2704179;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Poecilia latipinna;Poecilia latipinna;5203752;Metazoa;cyprinodontiformes;Poeciliidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Poecilia reticulata;Poecilia reticulata;2350050;Metazoa;cyprinodontiformes;Poeciliidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pomacea canaliculata;Pomacea canaliculata;2292582;Metazoa;NA;Ampullariidae;mollusca;gastropoda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pomacea maculata;Pomacea maculata;7532642;Metazoa;NA;Ampullariidae;mollusca;gastropoda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pomoxis annularis;Pomoxis annularis;2394534;Metazoa;perciformes;Centrarchidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pomoxis nigromaculatus;Pomoxis nigromaculatus;2394526;Metazoa;perciformes;Centrarchidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pontederia vaginalis;Pontederia vaginalis;8238520;Plantae;commelinales;Pontederiaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pontogammarus robustoides;Pontogammarus robustoides;4315140;Metazoa;amphipoda;NA;arthropoda;malacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Potamocorbula amurensis;Potamocorbula amurensis;2288926;Metazoa;NA;Corbulidae;mollusca;bivalvia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Potamogeton crispus;Potamogeton crispus;5301162;Plantae;alismatales;Potamogetonaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Potamopyrgus antipodarum;Potamopyrgus antipodarum;5192470;Metazoa;NA;Hydrobiidae;mollusca;gastropoda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Procambarus acutus;Procambarus acutus;2227289;Metazoa;decapoda;Cambaridae;arthropoda;malacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Procambarus clarkii;Procambarus clarkii;2227300;Metazoa;decapoda;Cambaridae;arthropoda;malacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Procambarus virginalis;Procambarus fallax;9442269;Metazoa;decapoda;Cambaridae;arthropoda;malacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Prosopis juliflora;Prosopis juliflora;5358460;Plantae;fabales;Fabaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Protopterus aethiopicus;Protopterus aethiopicus;4287144;Metazoa;lepidosireniformes;Protopteridae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Prymnesium parvum;Prymnesium parvum;7513065;Chromista;prymnesiales;Prymnesiaceae;haptophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pseudorasbora parva;Pseudorasbora parva;2362868;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pterygoplichthys ambrosettii;Pterygoplichthys ambrosettii;5851833;Metazoa;siluriformes;Loricariidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pterygoplichthys disjunctivus;Pterygoplichthys disjunctivus;2340003;Metazoa;siluriformes;Loricariidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pterygoplichthys multiradiatus;Pterygoplichthys multiradiatus;2339962;Metazoa;siluriformes;Loricariidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pylodictis olivaris;Pylodictis olivaris;2341077;Metazoa;siluriformes;Ictaluridae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Python bivittatus;Python bivittatus;4820533;Metazoa;serpentes;Pythonidae;chordata;reptilia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Lithobates catesbeianus;Rana catesbeiana;2427091;Metazoa;anura;Ranidae;chordata;amphibia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Rhamphicarpa fistulosa;Rhamphicarpa fistulosa;3724000;Plantae;lamiales;Orobanchaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Rhinella marina;Rhinella marina;5216933;Metazoa;anura;Bufonidae;chordata;amphibia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Rhithropanopeus harrisii;Rhithropanopeus harrisii;2227663;Metazoa;decapoda;Panopeidae;arthropoda;malacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Rhodeus ocellatus;Rhodeus ocellatus;4286934;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Rhodomyrtus tomentosa;Rhodomyrtus tomentosa;3179997;Plantae;myrtales;Myrtaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Rubus parviflorus;Rubus parviflorus;7872219;Plantae;rosales;Rosaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Sagittaria latifolia;Sagittaria latifolia;5328909;Plantae;alismatales;Alismataceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Sagittaria sagittifolia;Sagittaria sagittifolia;5328882;Plantae;alismatales;Alismataceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Salix humboldtiana;Salix humboldtiana;5372914;Plantae;malpighiales;Salicaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Salmo salar;Salmo salar;7595433;Metazoa;salmoniformes;Salmonidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Salmo trutta;Salmo trutta;8215487;Metazoa;salmoniformes;Salmonidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Salvelinus fontinalis;Salvelinus fontinalis;2351271;Metazoa;salmoniformes;Salmonidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Salvelinus namaycush;Salvelinus namaycush;2351327;Metazoa;salmoniformes;Salmonidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Salvinia auriculata;Salvinia auriculata;5274861;Plantae;NA;Salviniaceae;pteridophyta;filicopsida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Salvinia minima;Salvinia minima;5274860;Plantae;NA;Salviniaceae;pteridophyta;filicopsida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Salvinia molesta;Salvinia molesta;5274863;Plantae;NA;Salviniaceae;pteridophyta;filicopsida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Sandelia capensis;Sandelia capensis;2391600;Metazoa;perciformes;Anabantidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Sander lucioperca;Sander lucioperca;2382155;Metazoa;perciformes;Percidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Sander vitreus;Sander vitreus;2382172;Metazoa;perciformes;Percidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Scardinius erythrophthalmus;Scardinius erythrophthalmus;2362635;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Schilbe mystus;Schilbe mystus;2341732;Metazoa;siluriformes;Schilbeidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Sepedomerus macropus;Sepedomerus macropus;1443782;Metazoa;diptera;Sciomyzidae;arthropoda;insecta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Sepedon aenescens;Sepedon aenescens;5054931;Metazoa;diptera;Sciomyzidae;arthropoda;insecta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Sesbania bispinosa;Sesbania bispinosa;2970721;Plantae;fabales;Fabaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Silurus asotus;Silurus asotus;2337594;Metazoa;siluriformes;Siluridae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Silurus glanis;Silurus glanis;2337607;Metazoa;siluriformes;Siluridae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Solanum tampicense;Solanum tampicense;2929938;Plantae;solanales;Solanaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Solenopsis invicta;Solenopsis invicta;5035230;Metazoa;hymenoptera;Formicidae;arthropoda;insecta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Solidago nemoralis;Solidago nemoralis;5389028;Plantae;asterales;Asteraceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Solidago sempervirens;Solidago sempervirens;5388927;Plantae;asterales;Asteraceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Sparganium erectum;Sparganium erectum;7679536;Plantae;poales;Typhaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Sphenoclea zeylanica;Sphenoclea zeylanica;3158672;Plantae;solanales;Sphenocleaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Spirodela polyrhiza;Spirodela polyrhiza;4097481;Plantae;alismatales;Araceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Squalius cephalus;Squalius cephalus;2365685;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Sterculia apetala;Sterculia apetala;5406679;Plantae;malvales;Malvaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Talipariti tiliaceum;Talipariti tiliaceum;7115794;Plantae;malvales;Malvaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Tetragonia tetragonioides;Tetragonia tetragonioides;5384307;Plantae;caryophyllales;Aizoaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Threskiornis aethiopicus;Threskiornis aethiopicus;2480764;Metazoa;ciconiiformes;Threskiornithidae;chordata;aves;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pelmatolapia mariae;Tilapia mariae;9552432;Metazoa;perciformes;Cichlidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Coptodon zillii;Tilapia zillii;2370703;Metazoa;perciformes;Cichlidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Trachemys scripta;Trachemys scripta;2443002;Metazoa;testudines;Emydidae;chordata;reptilia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Trapa natans;Trapa natans;3188757;Plantae;myrtales;Lythraceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Trichopodus trichopterus;Trichopodus trichopterus;5211169;Metazoa;perciformes;Osphronemidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Typha angustifolia;Typha angustifolia;5289461;Plantae;poales;Typhaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Typha domingensis;Typha domingensis;5289534;Plantae;poales;Typhaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Typha latifolia;Typha latifolia;5289423;Plantae;poales;Typhaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Typha glauca;Typha x;8960288;Plantae;poales;Typhaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Umbra pygmaea;Umbra pygmaea;5203111;Metazoa;salmoniformes;Umbridae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Urochloa arrecta;Urochloa arrecta;2705837;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Urochloa distachyos;Urochloa distachya;10902071;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Urochloa mutica;Urochloa mutica;2705848;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Utricularia gibba;Utricularia gibba;3172407;Plantae;lamiales;Lentibulariaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Vallisneria spiralis;Vallisneria spiralis;2865526;Plantae;alismatales;Hydrocharitaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Varanus niloticus;Varanus niloticus;2470656;Metazoa;sauria;Varanidae;chordata;reptilia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Xanthium strumarium;Xanthium strumarium;3089154;Plantae;asterales;Asteraceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Xenopus laevis;Xenopus laevis;5217334;Metazoa;anura;Pipidae;chordata;amphibia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Xiphophorus hellerii;Xiphophorus hellerii;8246728;Metazoa;cyprinodontiformes;Poeciliidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Xiphophorus maculatus;Xiphophorus maculatus;2350164;Metazoa;cyprinodontiformes;Poeciliidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Beak and feather disease virus;beak and;10196361;NA;NA;Circoviridae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
